#,Champion,Games,Wins,Losses,Winrate,Kill,Death,Assist,KDA,Gold,CS,Double Kill,Triple Kill,Quadra Kill,Penta Kill,Max Kills,Max Deaths,Average Damage Dealt,Average Damage Taken
0,TOTAL,4012,2085,1927,51.97,5.23,6.63,11.81,2.57,11234.26,113.36,988,135,17,1,32,34,110459.42,25444.65
1,Morgana,315,180,135,57.14,3.33,7.37,16.08,2.63,10035.82,27.55,34,4,0,0,14,18,37801.09,19981.91
2,Rammus,232,138,94,59.48,5.17,6.45,12.78,2.78,10668.18,78.48,8,0,0,0,20,34,102393.45,30593.36
3,Braum,223,113,110,50.67,1.76,5.31,15.96,3.33,9295.0,47.87,6,1,0,0,7,16,30352.78,25539.33
4,Thresh,218,117,101,53.67,2.71,6.97,16.81,2.8,9303.22,21.59,27,3,0,0,14,15,24777.0,21876.11
5,Kha'Zix,170,85,85,50.0,7.75,7.19,7.53,2.12,10420.4,79.07,55,7,1,0,25,17,123110.7,29620.9
6,Janna,140,77,63,55.0,1.06,5.1,15.36,3.22,8333.0,10.58,1,0,0,0,5,14,15758.6,17378.8
7,Jarvan IV,127,69,58,54.33,6.36,6.51,14.53,3.21,10984.56,73.33,28,3,0,0,18,13,101764.33,24337.78
8,Sejuani,127,66,61,51.97,4.75,5.24,12.27,3.25,10658.67,84.67,23,2,1,0,19,13,109055.44,32391.11
9,Nunu & Willump,124,71,53,57.26,4.27,5.52,14.28,3.36,10921.0,77.67,19,1,1,0,11,14,108735.56,34761.33
10,Hecarim,117,63,54,53.85,6.66,6.02,10.7,2.88,11419.2,117.79,15,2,0,0,25,13,135927.9,33198.2
11,Kayn,115,55,60,47.83,6.36,7.33,7.04,1.83,10325.6,122.28,22,1,0,0,26,15,123256.4,30467.6
12,Leona,97,58,39,59.79,1.85,5.16,13.85,3.04,8200.0,42.43,2,0,0,0,6,13,23417.6,16734.7
13,Amumu,88,43,45,48.86,4.61,6.28,12.34,2.7,10600.91,88.78,13,1,0,0,18,15,119192.0,32581.18
14,Darius,82,46,36,56.1,8.35,7.89,8.78,2.17,10726.0,108.52,54,6,1,0,19,18,80719.0,26601.25
15,Warwick,82,45,37,54.88,7.93,6.93,10.61,2.68,10765.0,106.8,27,1,0,0,21,15,108235.29,39171.57
16,Zac,82,39,43,47.56,5.09,5.72,12.46,3.07,10316.11,60.83,13,3,0,0,16,11,111332.0,36633.44
17,Vi,78,38,40,48.72,5.64,7.25,9.26,2.06,10499.3,65.57,12,1,0,0,23,14,111820.6,23880.5
18,Pantheon,68,39,29,57.35,9.16,7.3,7.9,2.34,11833.86,112.21,32,3,0,0,27,17,119318.43,26038.43
19,Fiddlesticks,61,28,33,45.9,6.5,8.23,12.93,2.36,11140.0,64.5,15,1,0,0,20,15,109774.83,29157.67
