#,Champion,Games,Wins,Losses,Winrate,Kill,Death,Assist,KDA,Gold,CS,Double Kill,Triple Kill,Quadra Kill,Penta Kill,Max Kills,Max Deaths,Average Damage Dealt,Average Damage Taken
0,TOTAL,12326,6544,5782,53.09,5.76,4.4,6.62,2.82,10677.95,161.77,2354,397,70,17,33,17,120984.75,20991.57
1,LeBlanc,799,457,342,57.2,6.99,3.8,6.3,3.5,11797.17,190.02,62,8,2,1,26,13,120412.33,19993.75
2,Azir,478,245,233,51.26,5.0,4.47,5.82,2.42,11934.0,225.23,74,15,2,0,20,14,151075.09,17430.82
3,Lucian,419,205,214,48.93,5.16,4.47,5.46,2.38,12617.5,224.93,64,6,2,0,20,13,158161.0,18923.0
4,Sylas,404,219,185,54.21,6.44,4.44,6.08,2.82,11178.8,194.34,84,15,4,1,27,14,122789.6,24488.6
5,Akali,393,190,203,48.35,6.55,3.99,4.42,2.75,11491.25,206.46,72,14,1,0,24,11,125755.75,22927.12
6,Yasuo,377,194,183,51.46,5.23,4.92,5.24,2.13,11468.6,218.83,62,8,2,1,19,17,156440.7,18294.0
7,Irelia,372,202,170,54.3,6.58,4.56,5.2,2.58,12964.44,234.31,112,17,6,1,21,12,159352.89,27477.0
8,Zoe,372,196,176,52.69,5.76,3.59,6.42,3.39,11164.83,202.25,53,11,2,1,19,12,134250.5,14321.5
9,Ryze,371,207,164,55.8,5.97,4.25,5.83,2.78,11687.73,214.97,41,6,3,1,20,11,161099.36,19568.82
10,Syndra,354,198,156,55.93,5.94,4.51,5.93,2.63,12131.09,227.5,41,4,1,1,20,15,161483.0,15716.73
11,Lee Sin,334,167,167,50.0,6.78,4.79,8.53,3.2,10778.55,106.3,36,5,1,0,20,15,130904.27,27247.27
12,Zed,269,151,118,56.13,7.15,4.85,5.15,2.53,11358.1,202.04,44,6,1,0,24,12,130970.0,18093.8
13,Taliyah,213,126,87,59.15,6.12,4.4,7.31,3.05,11750.12,221.29,20,3,1,0,21,14,160376.25,17039.25
14,Fizz,211,129,82,61.14,8.32,4.54,5.38,3.02,12384.4,203.67,35,8,2,1,26,14,133746.4,20363.3
15,Kassadin,195,110,85,56.41,7.26,4.0,5.79,3.27,11392.45,197.87,55,11,2,0,30,11,120332.27,22821.0
